StockName,StockUrl,Status,Buy At,StopLoss
Larsen,https://www.moneycontrol.com/tech_charts/bse/his/lt.csv,BUY,865.7,809.0
Camson Seeds,https://www.moneycontrol.com/tech_charts/bse/his/cs21.csv,BUY,0.94,0.9
Sal Automotive,https://www.moneycontrol.com/tech_charts/bse/his/sa14.csv,BUY,93.85,93.85
Sundaram-Clayto,https://www.moneycontrol.com/tech_charts/bse/his/sc.csv,BUY,1441.0,1441.0
PTC Industries,https://www.moneycontrol.com/tech_charts/bse/his/ptc02.csv,BUY,307.4,295.0
Uni Abex,https://www.moneycontrol.com/tech_charts/bse/his/uaa.csv,BUY,361.0,361.0
Rama Steel Tube,https://www.moneycontrol.com/tech_charts/bse/his/rst.csv,BUY,25.1,24.0
Bhagwati Auto,https://www.moneycontrol.com/tech_charts/bse/his/ba01.csv,BUY,89.0,85.0
Porwal Auto,https://www.moneycontrol.com/tech_charts/bse/his/pac02.csv,BUY,8.17,7.46
The Hi-Tech Gea,https://www.moneycontrol.com/tech_charts/bse/his/htg.csv,BUY,93.95,86.0
Autolite India,https://www.moneycontrol.com/tech_charts/bse/his/ai31.csv,BUY,15.37,14.25
WABCO India,https://www.moneycontrol.com/tech_charts/bse/his/wab.csv,BUY,6287.9,6210.0
Federal-Mogul,https://www.moneycontrol.com/tech_charts/bse/his/gi09.csv,BUY,327.1,320.1
Harita Seating,https://www.moneycontrol.com/tech_charts/bse/his/hss02.csv,BUY,357.95,350.0
Scooters India,https://www.moneycontrol.com/tech_charts/bse/his/si09.csv,BUY,19.8,18.9
Pioneer Distill,https://www.moneycontrol.com/tech_charts/bse/his/pdl.csv,BUY,113.55,110.0
Jagatjit Ind,https://www.moneycontrol.com/tech_charts/bse/his/ji01.csv,BUY,19.95,19.8
Shiva Cement,https://www.moneycontrol.com/tech_charts/bse/his/sc42.csv,BUY,10.59,9.75
VST,https://www.moneycontrol.com/tech_charts/bse/his/vst.csv,BUY,2811.45,2758.9
INEOS Styro,https://www.moneycontrol.com/tech_charts/bse/his/bab.csv,BUY,568.95,542.35
Mangalam Organ,https://www.moneycontrol.com/tech_charts/bse/his/dp06.csv,BUY,239.9,228.0
Chemfab Alkalis,https://www.moneycontrol.com/tech_charts/bse/his/ca01.csv,BUY,125.5,121.05
Lords Chloro,https://www.moneycontrol.com/tech_charts/bse/his/mac03.csv,BUY,20.75,19.7
Kilburn Chem,https://www.moneycontrol.com/tech_charts/bse/his/kc.csv,BUY,8.61,8.38
Lime Chemicals,https://www.moneycontrol.com/tech_charts/bse/his/lc01.csv,BUY,15.12,14.37
CaprolactumChem,https://www.moneycontrol.com/tech_charts/bse/his/vci.csv,BUY,19.19,18.28
Laffans Petro,https://www.moneycontrol.com/tech_charts/bse/his/lp.csv,BUY,10.4,9.8
Ingersoll Rand,https://www.moneycontrol.com/tech_charts/bse/his/iri01.csv,BUY,630.5,627.35
Dynamatic Tech,https://www.moneycontrol.com/tech_charts/bse/his/dt05.csv,BUY,520.0,505.0
Veljan Denison,https://www.moneycontrol.com/tech_charts/bse/his/h03.csv,BUY,716.1,675.0
JL Morison,https://www.moneycontrol.com/tech_charts/bse/his/jlm.csv,BUY,1650.0,1560.0
Accel,https://www.moneycontrol.com/tech_charts/bse/his/ts03.csv,BUY,5.25,4.76
Shriram EPC,https://www.moneycontrol.com/tech_charts/bse/his/se21.csv,BUY,2.64,2.49
Atlanta,https://www.moneycontrol.com/tech_charts/bse/his/a9.csv,BUY,3.3,3.15
Ratnabhumi Deve,https://www.moneycontrol.com/tech_charts/bse/his/rd04.csv,BUY,101.9,101.8
Sri Krishna Con,https://www.moneycontrol.com/tech_charts/bse/his/skc02.csv,BUY,9.43,9.43
Ishaan Infrastr,https://www.moneycontrol.com/tech_charts/bse/his/iia.csv,BUY,7.15,7.1
Prozone Intu,https://www.moneycontrol.com/tech_charts/bse/his/pcs03.csv,BUY,10.02,9.6
DB Realty,https://www.moneycontrol.com/tech_charts/bse/his/dr.csv,BUY,3.87,3.87
Peninsula Land,https://www.moneycontrol.com/tech_charts/bse/his/mgs.csv,BUY,3.23,3.11
HDIL,https://www.moneycontrol.com/tech_charts/bse/his/hdi.csv,BUY,1.81,1.79
Ansal Propertie,https://www.moneycontrol.com/tech_charts/bse/his/api02.csv,BUY,4.17,3.99
Prerna Infra,https://www.moneycontrol.com/tech_charts/bse/his/pf08.csv,BUY,17.75,16.2
Tirupati Sarjan,https://www.moneycontrol.com/tech_charts/bse/his/ts06.csv,BUY,4.7,4.4
Narendra Prop,https://www.moneycontrol.com/tech_charts/bse/his/np13.csv,BUY,14.56,14.16
RTCL,https://www.moneycontrol.com/tech_charts/bse/his/rtc.csv,BUY,2.5,2.4
KSE,https://www.moneycontrol.com/tech_charts/bse/his/kse.csv,BUY,1241.0,1240.0
Tasty Dairy Spe,https://www.moneycontrol.com/tech_charts/bse/his/tds.csv,BUY,19.3,16.0
