Company,Shortname,Link
Reliance,RI,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI
TCS,TCS,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS
HUL,HL,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
HDFC Bank,HDF01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
HDFC,HDF,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
Bharti Airtel,BTV,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08
Infosys,IT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
Kotak Mahindra,KMF,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
ITC,ITC,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
ICICI Bank,ICI02,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
SBI,SBI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI
Asian Paints,API,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Nestle,NI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI
Maruti Suzuki,MU01,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
Avenue Supermar,AS28,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Bajaj Finance,BAF,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
HCL Tech,HCL02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
Larsen,LT,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
Axis Bank,UTI10,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Sun Pharma,SPI,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
Wipro,W,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W
UltraTechCement,UTC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01
HDFC Life,HSL01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
ONGC,ONG,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG
Coal India,CI29,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
NTPC,NTP,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP
Titan Company,TI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
Dabur India,DI,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
Power Grid Corp,PGC,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC
IOC,IOC,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
BPCL,BPC,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Bajaj Finserv,BF04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
SBI Life Insura,SLI03,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03
Pidilite Ind,PI11,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
Hind Zinc,HZ,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
Bajaj Auto,BA06,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Britannia,BI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Shree Cements,SC12,https://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12
Divis Labs,DL03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
Dr Reddys Labs,DRL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
Godrej Consumer,GCP,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
HDFC AMC,HAM02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02
Adani Ports,MPS,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
ICICI Lombard ,ILG,https://www.moneycontrol.com/india/stockpricequote/diversified/icicilombardgeneralinsurancecompany/ILG
Tech Mahindra,TM4,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4
ICICI Prudentia,IPL01,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
Berger Paints,BPI02,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Cipla,C,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
SBI Cards,SCP03,https://www.moneycontrol.com/india/stockpricequote/sbicardspaymentservices/sbicardspaymentservices/SCP02
M&M,MM,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
GlaxoSmith Con,SB,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04
Siemens,S,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S
United Spirits,MC08,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US
Interglobe Avi,IA05,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
Biocon,BL03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
JSW Steel,JVS,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
Torrent Pharma,TP06,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06
GAIL,GAI,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
Hero Motocorp,HHM,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
Marico,MI25,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13
Lupin,LC03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L
Colgate,CPI,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
Eicher Motors,EM,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
Abbott India,KP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
P and G,PGI,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
Cadila Health,CHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
Grasim,GI01,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
DLF,D04,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
Havells India,HI01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
Bharti Infratel,BI26,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14
Ambuja Cements,GAC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Petronet LNG,PLN,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN
IGL,IG04,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Alkem Lab,AL16,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Tata Steel,TIS,https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS
HPCL,HPC,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC
Bandhan Bank,BB09,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
Yes Bank,YB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB
Muthoot Finance,MF19,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10
Bosch,MIC,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
PNB,PNB05,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05
Aurobindo Pharm,AP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Vedanta,SG,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG
Adani Green Ene,ADANI54145,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
IndusInd Bank,IIB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
TATA Cons. Prod,TT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT
Embassy Office ,EOP,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/embassyofficeparksreit/EOP
Info Edge,IEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
Hindalco,H,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
